Feature ID,Feature Name,Feature Type,I,P value,Adjusted p value,Feature Counts in Spots Under Tissue,Median Normalized Average Counts,Barcodes Detected per Feature
ENSG00000198832,SELENOM,Gene Expression,0.3993935759923826,0.0,0.0,453,1.2650102813871045,109
ENSG00000211897,IGHG3,Gene Expression,0.3944236529570135,0.0,0.0,114,0.602113166939093,35
ENSG00000075624,ACTB,Gene Expression,0.39404903273154507,0.0,0.0,1670,4.097117189341849,195
ENSG00000163359,COL6A3,Gene Expression,0.3920633263265527,0.0,0.0,438,1.2772865762721077,114
ENSG00000119888,EPCAM,Gene Expression,0.3915259045224427,0.0,0.0,621,1.430082011821567,105
ENSG00000106538,RARRES2,Gene Expression,0.3896815522508551,0.0,0.0,311,0.8065522555021604,97
ENSG00000143196,DPT,Gene Expression,0.3886319451345261,0.0,0.0,320,0.8604926563458898,94
ENSG00000163435,ELF3,Gene Expression,0.38503254607062304,0.0,0.0,728,1.4980615657458765,111
ENSG00000145113,MUC4,Gene Expression,0.38038196117855905,0.0,0.0,839,2.0207235864009854,123
ENSG00000109610,SOD3,Gene Expression,0.3797541868810096,0.0,0.0,297,0.8365144119596355,96
ENSG00000095637,SORBS1,Gene Expression,0.3789045483226098,0.0,0.0,276,0.8861603516444181,97
ENSG00000105755,ETHE1,Gene Expression,0.3709005738734077,0.0,0.0,703,1.426292776021931,123
ENSG00000087245,MMP2,Gene Expression,0.3679950383804412,0.0,0.0,409,1.207812504589777,113
ENSG00000167183,PRR15L,Gene Expression,0.36500878527349084,0.0,0.0,426,0.8923708095253005,84
ENSG00000167617,CDC42EP5,Gene Expression,0.364871085229049,0.0,0.0,1128,2.499551493491865,157
ENSG00000117983,MUC5B,Gene Expression,0.36473142233889455,0.0,0.0,860,2.074782349927185,114
ENSG00000100097,LGALS1,Gene Expression,0.36284247214737686,0.0,0.0,293,0.7762036822469844,106
ENSG00000142156,COL6A1,Gene Expression,0.3605916954769689,0.0,0.0,357,0.9528478209928588,106
ENSG00000182326,C1S,Gene Expression,0.3599353039180257,0.0,0.0,268,0.6384515635352601,88
ENSG00000127324,TSPAN8,Gene Expression,0.35834734650946126,0.0,0.0,663,1.2999438478418803,94
ENSG00000172403,SYNPO2,Gene Expression,0.3576519421262372,0.0,0.0,245,0.6459883803290286,88
